id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes
F-089,Handwritten note understanding,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-090,Score report extraction,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-091,Current-page awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-092,Current-question awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-093,Current-video awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-094,Timestamp-aware help,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-095,Writing selection awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-096,Speaking-session context,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-097,Cross-device conversation continuity,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-098,Deep-link resource open,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1,Platform route map + permission-safe action APIs,NOT AUDITED,
F-099,Open exact timestamp,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-100,Start recommended practice,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-101,Continue last activity,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-102,Save note,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-103,Save vocabulary,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-104,Add to plan,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-105,Set reminder,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-106,Open workshop,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-107,Create support request,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-108,Tutor handoff summary,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-109,Report wrong answer,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-110,Show allowances/credits,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-111,Contextual upgrade checkout,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1,Platform route map + permission-safe action APIs,NOT AUDITED,
F-112,Resume chat after purchase,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,NOT AUDITED,
F-113,Exam countdown,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-114,Inactivity risk nudges,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-115,Weak-subtest reminder,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-116,New relevant content alert,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-117,Calendar integration,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-118,Push/email/app progress summaries,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-119,Quiet hours,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-120,Streaks/milestones,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-121,Adaptive gamification,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Deferred-by-default / Stage 3+ TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-122,Referral/review prompt at positive moments,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,NOT AUDITED,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.
F-123,Tutor pre-session brief,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-124,Tutor post-session notes,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-125,Admin aggregate AI queries,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-126,Quality dashboard,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-127,Hallucination/low-confidence queue,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-128,Content-gap dashboard,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-129,Teaching-gap dashboard,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-130,Rule approval/version/rollback,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-131,Content Studio extraction proposals,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-132,Revenue/cost dashboard,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-133,Entitlement management,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-134,Promotional AI Credits,Admin/tutor,"21, 34, 42",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Admin/Backend,TO VERIFY - developer after repository audit,Stage 2-3,Admin roles + analytics + audit log,NOT AUDITED,
F-135,Free message cap,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-136,Plus tier,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-137,Pro tier,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-138,Ultimate tier,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,"Appendix A classifies the Ultimate tier commercially as Stage 1, while the release sequence says the full Ultimate Mentor promise launches only in Stage 3. Implement schema/paywall readiness early but do not expose the full Ultimate promise until Stage 3 gates pass."
F-139,AI Credits,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-140,Top-up packs,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-141,Usage counter,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-142,Contextual paywall,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-143,Course × AI entitlement matrix,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-144,Standalone AI subscription,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-145,Course AI add-on,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-146,Monthly billing,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-147,Optional annual billing,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-148,Upgrade/downgrade/cancel,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-149,Fair-use/rate limits,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-150,Regional currency display,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-151,Cost ceiling alerts,Commercial,"23-30, 38-39",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Finance/Payments,TO VERIFY - developer after repository audit,Stage 1,Pricing + payments + entitlement service + cost telemetry,NOT AUDITED,
F-152,Official-vs-methodology separation,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2 (baseline required in Stage 1),Security/privacy design + auditability,NOT AUDITED,Release sequence explicitly requires source-authority separation in Stage 1 although Appendix A places F-152 in Stage 2. Build a Stage 1 baseline and harden/expand in Stage 2.
F-153,Anti-hallucination behavior,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 1,Security/privacy design + auditability,NOT AUDITED,
F-154,Entitlement-safe retrieval,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 1,Security/privacy design + auditability,NOT AUDITED,
F-155,Academic integrity controls,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-156,Sensitive upload warning,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-157,Privacy controls,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 1,Security/privacy design + auditability,NOT AUDITED,
F-158,Data export/delete,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-159,Audit logs,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-160,"Accessibility - WCAG 2.2 AA across learner-facing web, web-app and native-app surfaces",Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,"WCAG 2.2 AA is a global product target. Even if Appendix A classifies the inventory item as Stage 2, Stage 1 UI must not knowingly introduce inaccessible foundations."
F-161,Arabic RTL support,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-162,iOS,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-163,Android,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-164,Windows,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-165,macOS,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-166,Website,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-167,Web app,Trust & platform,"2, 22, 40-44",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Security + AI + Product,TO VERIFY - developer after repository audit,Stage 2,Security/privacy design + auditability,NOT AUDITED,
F-168,IELTS pack,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-169,PTE pack,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-170,TOEFL pack,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
