id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes,repo_evidence,repo_gap,repo_stage,risk
F-055,English-only mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`CompanionPreference.EnglishOnly` — replies in English even to Arabic input, rephrasing more simply rather than translating. Opt-in.",None.,Stage 2,Low
F-056,Adaptive drill generator,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,"`WritingDrill`, `SpeakingDrillItem`, `RemediationPlanService`, `RemediationCatalog`, `AdaptiveDifficultyService`.",Drills are catalogue-driven; no companion-generated drill targeting a specific weakness.,Stage 2,Medium
F-057,Micro-lessons,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 4-5,Approved pedagogy + retrieval + evaluation,DEFERRED_BY_SOURCE,,"Grammar lessons exist (`app/grammar/[lessonId]`, `Services/Grammar/**`).","Appendix places micro-lessons at Stage 4-5 (DEC-004). Kept in backlog, not dropped.",Stage 4-5,Low
F-058,Grammar tutor,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`Services/Grammar/{GrammarRulebookService,GrammarDraftService,GrammarEntitlementService,GrammarPublishGateService}`; `app/grammar`; grammar rulebooks for 7 professions; `SeedData.GrammarSpecs1-4`.",Not yet reachable from the companion as a tool.,Stage 1,Low
F-059,Vocabulary brain,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`VocabularyService`, `VocabularyGlossService`, `app/vocabulary/{browse,flashcards,quiz}`, SM-2 scheduling, `lookup_vocabulary_term` tool.",Not yet granted to a companion feature code.,Stage 1,Low
F-060,Writing guided mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,`WritingCoachService` (597 lines) + `WritingCoachHub` stream inline suggestions; feature codes `writing.coach.suggest` and `writing.coach.explain`.,"Guided, hint and compare modes are not distinct behaviours and are not companion-addressable.",Stage 2,Medium
F-061,Writing hint mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,`WritingCoachService` (597 lines) + `WritingCoachHub` stream inline suggestions; feature codes `writing.coach.suggest` and `writing.coach.explain`.,"Guided, hint and compare modes are not distinct behaviours and are not companion-addressable.",Stage 2,Medium
F-062,Writing correction,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`WritingSubmissionEvaluationPipeline`, `WritingRuleEngine`, `WritingAssessmentPreflightService`; rule-cited corrections.",None. Companion links to it rather than re-grading.,Stage 1,Low
F-063,Writing compare/rewrite,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,`WritingCoachService` (597 lines) + `WritingCoachHub` stream inline suggestions; feature codes `writing.coach.suggest` and `writing.coach.explain`.,"Guided, hint and compare modes are not distinct behaviours and are not companion-addressable.",Stage 2,Medium
F-064,Writing scoring/criteria feedback,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,Criterion feedback plus scaled score via `OetScoring` (anchor 30/42 == 350/500); Writing country-aware pass.,The existing graded product is unaffected. The calibration gate (TV-006/TV-007) applies to *companion-asserted* bands only.,Stage 1,Medium
F-065,Speaking voice role play,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 3,Approved pedagogy + retrieval + evaluation,EXISTS,,"`Services/Conversation/**` full voice role-play: ASR (Azure/Deepgram/Whisper/ElevenLabs), TTS (ElevenLabs), `ConversationHub`, `ConversationAiOrchestrator`, `docs/CONVERSATION.md`.",Source places this at Stage 3; this repo already ships it. Companion must not duplicate or absorb it.,Shipped,Low
F-066,Speaking difficult-patient modes,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,"`Services/Speaking/SpeakingSimulationV11PersonaService.cs`, `ConversationTemplate` scenarios, interlocutor scripts.","Difficulty personalities are not a documented, selectable matrix.",Stage 2,Low
F-067,Speaking pronunciation/fluency analysis,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`PronunciationService`, `Services/Pronunciation/**`, Azure phoneme + Gemini native-audio scoring, `rulebooks/pronunciation/**` for 10 professions.",Scope must stay within the validated pronunciation feature set (TV-011).,Shipped,Low
F-068,Reading Part A/B/C coach,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,"`Services/Reading/ReadingExplanationService.cs` (`reading.explanation.v1`, `reading.passage_qna.v1`), reading pathway analytics, `_exam-mode` rulebooks.",No per-part A/B/C coaching thread and no distractor-susceptibility analysis.,Stage 2,Medium
F-069,Listening Part A/B/C coach,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,"Listening explanations, `ListeningPathwayAnalyticsService`, `ListeningPathwayGenerator`, dictation surface.",No spelling/accent/prediction-failure taxonomy feeding Error DNA.,Stage 2,Medium
F-070,Confidence-vs-accuracy analysis,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,`LearnerGoal.ConfidenceLevel`; `ConfidenceBadge` UI primitive.,No per-question confidence capture compared against accuracy.,Stage 2,Low
F-071,Why did my score change?,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,MISSING,,`LearnerActionsService.GetProgressTrendAsync` and `app/progress` show the trend.,No evidence-based causal explanation of a score change.,Stage 2,Medium
F-072,Full mock mode,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,EXISTS,,"`MockService`, `MockItemAnalysisService`, `Services/Mocks/**`, `app/mocks`, `components/domain/mock-player`, `MockEntitlementService`; Full Mock Attempts never consume AI credits.",None.,Shipped,Low
F-073,Practice vs Exam mode separation,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,EXISTS,,"Exam mode enforced server-side in `ListeningLearnerService`, `ReadingAttemptService` and `MockService`; `rulebooks/*/_exam-mode/rulebook.v1.json`.",The companion must honour it (F-155) and does not today.,Stage 1,High
F-074,Computer-based rehearsal,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,EXISTS,,"`MockService`, `MockItemAnalysisService`, `Services/Mocks/**`, `app/mocks`, `components/domain/mock-player`, `MockEntitlementService`; Full Mock Attempts never consume AI credits.",None.,Shipped,Low
F-075,Test-day rehearsal,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,PARTIAL,,`app/test-day` surface exists.,No logistics checklist or rehearsal driven by the companion.,Stage 2,Low
F-076,Final 24-hours mode,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,MISSING,,No final-24-hours mode.,Depends on short-horizon plans (F-034/F-035).,Stage 2,Low
F-077,Result-day assistant,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,MISSING,,`LearnerExamOutcome` records an admin-verified pass or fail and expires the package.,No result-day assistant creating a success or resit path.,Stage 2,Medium
F-078,Resit recovery plan,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,PARTIAL,,"`premium-4wk-retake` ""Retake Rescue"" template exists.",Not triggered from a recorded outcome; no resit journey link (F-012).,Stage 2,Medium
F-079,Readiness score,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,EXISTS,,"`Services/Readiness/{ReadinessComputationService,ReadinessBlockerRules,ReadinessForecastCalculator}`; `app/readiness`; `GetReadinessBlockersAsync`.",Must never be presented as a pass probability (F-153).,Stage 1,Low
F-080,Mastery map,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,PARTIAL,,`LearnerSkillProfile` (`Domain/AdaptiveEntities.cs`) holds an Elo rating per skill.,"No named mastery states, decay/review schedule or subskill map.",Stage 2,Medium
F-081,Trend analytics,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,EXISTS,,"`GetProgressTrendAsync`, `app/progress`, `app/progress/comparative`, `PredictionService`, `app/predictions`.",None.,Shipped,Low
F-082,Timing analytics,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,PARTIAL,,"Attempt timing is captured across subtest services; `useTimer`, `components/ui/timer`.",No consolidated timing analytics view.,Stage 2,Low
F-083,Personal bests,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,MISSING,,"Streak fields exist on `LearnerUser`; `app/achievements`, `app/leaderboard`.",No personal-best or milestone record.,Stage 2,Low
F-084,Anonymous cohort benchmarking,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,DEFERRED_BY_SOURCE,,`app/progress/comparative` exists.,"Source lists cohort benchmarking as a 12-month non-goal until sample size, privacy and interpretation are responsible.",Deferred,Medium
F-085,Weekly progress report,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,MISSING,,"Substrate exists: `NotificationCampaign`, `NotificationTemplate`, email and push dispatchers.",No weekly wins/risks/priorities report.,Stage 2,Low
F-086,Image/screenshot understanding,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,PARTIAL,,"`OcrService`, `MistralOcrClient`, `GeminiNativeProvider` multimodal.",Not reachable from the companion; no tiered file metering.,Stage 2,Medium
F-087,PDF understanding,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,PARTIAL,,OCR is used by the listening and reading authoring extraction pipelines.,No learner-facing PDF understanding with cost caps.,Stage 2,Medium
F-088,Audio analysis,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,EXISTS,,"ASR providers, `PronunciationService`, and the conversation audio pipeline with a retention worker.",Companion-side audio analysis is Stage 3 (voice gate).,Shipped,Low
F-089,Handwritten note understanding,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,MISSING,,No handwriting path.,Provider-dependent; Stage 2 at the earliest.,Stage 2,Low
F-090,Score report extraction,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,MISSING,,Same substrate as F-008.,Requires explicit confirmation before saving extracted scores.,Stage 2,Medium
F-091,Current-page awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,EXISTS,,"`buildSurfaceContext` derives route/resource/question/video from the pathname; `StartTurn(threadId, message, context)` carries it; prompt renders it under ""Currently viewing"".",Identifiers only. The model is told explicitly it has not seen the screen.,Stage 2,High
F-092,Current-question awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,EXISTS,,"Question ids are extracted from the route and passed in the envelope, so ""explain this question"" resolves.",Depends on the route exposing a question id; player routes that keep it in component state do not.,Stage 2,High
F-093,Current-video awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,EXISTS,,Video routes resolve a resource id through the same envelope.,Needs the Stage 2 video corpus before the companion can say anything grounded about a specific video.,Stage 2,High
F-094,Timestamp-aware help,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,EXISTS,,`videoTimeSeconds` is carried and rendered as a timestamp in the prompt.,The player does not yet push playback position; the field is populated only when a caller supplies it.,Stage 2,High
F-095,Writing selection awareness,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,PARTIAL,,`WritingCoachHub` operates on a submission and streams suggestions.,No explicit selection range passed as bounded context.,Stage 2,Medium
F-096,Speaking-session context,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,PARTIAL,,"`ConversationHub` holds session state, turns and hashed resume tokens.",Not exposed to the companion as context.,Stage 3,Low
F-097,Cross-device conversation continuity,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,EXISTS,,Threads persist server-side and rehydrate over SignalR; conversation sessions carry hashed resume tokens.,None.,Stage 1,Low
F-098,Deep-link resource open,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1,Platform route map + permission-safe action APIs,EXISTS,,`companion_open_destination` tool (`Services/AiTools/Tools/CompanionActionTools.cs`) resolves a destination id server-side and re-checks entitlement at execution.,Per-resource deep links (a specific paper or lesson id) still resolve only to the hub page; item-level targets land with Stage 2 content ingestion.,Stage 1,High
F-099,Open exact timestamp,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,MISSING,,`CompanionChunk.TimestampSeconds` carries the citation timestamp; the retriever returns it.,No video destination accepts a timestamp yet — depends on Stage 2 video corpus ingestion. Deliberately not faked: a timestamp link that lands at 0:00 is worse than no link.,Stage 2,Medium
F-100,Start recommended practice,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,EXISTS,,`companion_find_destination` + `companion_open_destination` cover practice starts; subtest hint biases ranking without widening entitlement.,"Starts the practice hub, not a specific pre-selected task. Task-level start needs the Stage 2 content index.",Stage 1,Medium
F-101,Continue last activity,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,EXISTS,,`companion_continue_last_activity` reads the most recent non-abandoned attempt and maps its subtest to a resume destination.,Resumes at the subtest hub rather than the exact attempt; attempt-level resume needs a per-subtest resume route contract.,Stage 1,Medium
F-102,Save note,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,EXISTS,,"Existing `save_user_note` tool, now granted to the learner assistant feature by `AiToolCatalogSeederHostedService`.","Note provenance is recorded (`Source=ai_tool`, `CreatedByFeatureCode`); learner-facing edit/delete of companion memory is F-047 and not yet built.",Stage 1,Low
F-103,Save vocabulary,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,EXISTS,,"Existing `bookmark_recall_term` tool, now granted to the learner assistant feature.","Bookmarks an existing vocabulary term only; it cannot create new terms, by design.",Stage 1,Low
F-104,Add to plan,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,EXISTS,,"`companion_add_plan_item` writes a `StudyPlanItem` into the active plan, bounded by the day’s minutes budget so a looping tool call cannot flood the plan.",Does not trigger a replan; the item is additive to the generated plan.,Stage 1,Medium
F-105,Set reminder,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,PARTIAL,,"`StudyPlanReminderWorker`, `NotificationScheduling`, `NotificationPreference` quiet hours.",Not reachable as a companion action.,Stage 2,Low
F-106,Open workshop,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,MISSING,,Live classes and private speaking bookings exist; no workshop entity (F-015/F-016).,Blocked on the workshop model.,Stage 2,Low
F-107,Create support request,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,PARTIAL,,"`CustomerSupportCaseService`, `app/support`.",No contextual case creation carrying the conversation.,Stage 2,Low
F-108,Tutor handoff summary,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,MISSING,,"Expert and tutor surfaces exist (`app/expert`, `app/tutor`); no handoff summary.","Needs score trend, errors, adherence and recommended focus.",Stage 2,Medium
F-109,Report wrong answer,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,PARTIAL,,Feedback entities across 18 domain files; `ReviewEscalations` + `AIEscalationStatsService`.,No companion-originated content-issue report.,Stage 2,Low
F-110,Show allowances/credits,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,EXISTS,,"`AiPackageCreditEndpoints`, `AiMeEndpoints`, `app/ai-packages`, `app/ai-usage`, `AiQuotaCounters`.","Companion needs to read it, not rebuild it.",Stage 1,Low
F-111,Contextual upgrade checkout,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1,Platform route map + permission-safe action APIs,PARTIAL,,`PlatformLinkService.BuildCheckoutUrl`; `BillingCheckoutEndpoints`; `ApiException.PaymentRequired` with `content_locked`.,"Paywall is a generic error, not a contextual upgrade card with tier, price and benefits.",Stage 1,Medium
F-112,Resume chat after purchase,Actions & navigation,17,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Frontend + Backend,TO VERIFY - developer after repository audit,Stage 1-2,Platform route map + permission-safe action APIs,MISSING,,"Threads persist, so the conversation itself survives; entitlement is re-resolved per request.",No pending-action resume after checkout completes.,Stage 1,Medium
F-113,Exam countdown,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,PARTIAL,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.,Exam date plus dashboard surfaces.,No countdown-driven plan adaptation.,Stage 3,Low
F-114,Inactivity risk nudges,Proactive & engagement,"20, 31",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Backend,TO VERIFY - developer after repository audit,Stage 3 / TO VERIFY,Reliable memory + notification preferences,PARTIAL,Appendix A visibly contains F-113 but the extracted matrix omits rows F-114 through F-122; preserve these features and require owner/phase sign-off. Section 46 also makes non-outcome gamification and fully proactive autonomy non-goals for the first 12 months.,"`EngagementService`, `NotificationRuleEngine`, `NotificationPolicyOverride`.",No inactivity-risk model.,Stage 3,Low
